Name,Team,Position,Age,Weight,College,Salary
Mason Plumlee,Portland Trail Blazers,C,26,235,Duke,1415520
Brian Roberts,Portland Trail Blazers,PG,30,173,Dayton,2854940
Noah Vonleh,Portland Trail Blazers,PF,20,240,Indiana,2637720
Trevor Booker,Utah Jazz,PF,28,228,Clemson,4775000
Trey Burke,Utah Jazz,PG,23,191,Michigan,2658240
Alec Burks,Utah Jazz,SG,24,214,Colorado,9463484
Dante Exum,Utah Jazz,PG,20,190,,3777720
Derrick Favors,Utah Jazz,PF,24,265,Georgia Tech,12000000
Rudy Gobert,Utah Jazz,C,23,245,,1175880
Gordon Hayward,Utah Jazz,SF,26,226,Butler,15409570
Rodney Hood,Utah Jazz,SG,23,206,Duke,1348440
Joe Ingles,Utah Jazz,SF,28,226,,2050000
Chris Johnson,Utah Jazz,SF,26,206,Dayton,981348
Trey Lyles,Utah Jazz,PF,20,234,Kentucky,2239800
Shelvin Mack,Utah Jazz,PG,26,203,Butler,2433333
Raul Neto,Utah Jazz,PG,24,179,,900000
Tibor Pleiss,Utah Jazz,C,26,256,,2900000
Jeff Withey,Utah Jazz,C,26,231,Kansas,947276
